,SO2,TEMP,PRES,RAIN,wd,WSPM,season
1,48,4.3,1016.7,0,SE,0.6,winter
2,3,30.2,998.4,0,NE,1.5,summer
3,3,31.4,1000,0,WSW,1.5,summer
4,25,2,1024.2,0,SSE,0.8,winter
5,20,-0.2,1018,0,ENE,0.5,winter
6,4,15.1,1014.3,0,WNW,0.8,fall
7,21,-4.2,1031.2,0,ENE,2.2,winter
8,18,-0.3,1016.8,0,E,1.6,winter
9,30,-5,1030.8,0,SE,1.4,winter
10,2,12.4,1016,0,ENE,0.7,fall
11,3,25.1,999.9,0,SSW,0.9,summer
12,101,-7.3,1026.7,0,WSW,0.6,winter
13,11,9.2,1012.9,0,ESE,2.6,spring
14,2,10.9,1015.6,0,SSE,1.3,fall
15,56,-4.7,1028.7,0,NE,1.4,winter
16,42,-0.4,1017.6,0,N,1.4,fall
17,17,9.1,1028.9,0,NNE,1.7,winter
18,21,8.4,1007.5,0,W,0.9,spring
19,6,21.8,1001.2,0,SW,0.8,spring
20,2,19.8,1011.9,0,WSW,2.8,fall
21,47,5,1021,0,WSW,5.1,winter
22,8,20.1,1013.4,0,SE,0.9,fall
23,2,5.1,1025,0,NNW,3.8,winter
24,2,28.3,1005.4,0,E,3.7,summer
25,2,14.4,1013,0,NNE,1.2,fall
26,81,-1,1005.4,0,SW,0.5,winter
27,17,8.5,1015.3,0,SW,2.8,spring
28,6,26.9,996.7,0,NE,1.8,summer
29,5,16.9,1006.5,0,NW,3.6,spring
30,2,6,1024.2,0,SW,1.1,fall
31,7,5,1016.5,0,W,0.9,fall
32,3,11.6,1018,0,SW,1.2,fall
33,2,19.7,999.7,0.2,ENE,2.1,summer
34,3,7.5,1016.8,0,N,2.3,spring
35,12,2.5,1018.3,0,NW,1.4,winter
36,17,-3.5,1025,0,NE,1.2,winter
37,2,27.4,999.1,0,NE,1.3,summer
38,2,27.7,999.9,0,SW,2.4,summer
39,9,20.4,1011,0,SSW,0.9,fall
40,27,19.6,1004,0,SSW,0.9,fall
41,1,1.95,1022,0,NW,5.8,winter
42,6,2,1015,0,WSW,0.5,winter
43,2,25.3,1000.9,0,ENE,1.5,summer
44,2,32.5,1001.1,0,SSW,1.7,summer
45,2,26.6,999.4,0,E,1.6,summer
46,8,13,1015,0,NNW,0.5,fall
47,2,17.8,1023.5,0,N,2.1,fall
48,23,12.9,1009.2,0,SE,1.3,spring
49,17,23.1,1005.9,0,ESE,1.4,fall
50,4,27.8,1009.6,0,NE,1.9,fall
51,5,-0.3,1036.1,0,NW,4.5,winter
52,2,21.2,1000.2,0,SW,0.8,summer
53,5,-4.8,1022.6,0,E,1.1,winter
54,4,22.9,1001.1,0,SE,0.8,summer
55,2,7.3,1017.7,0,NW,6.1,winter
56,2,9.7,1017,0,WSW,0.9,fall
57,2,16.9,1014.9,0,NW,5.3,spring
58,32,-4.4,1027,0,WSW,0.4,winter
59,169,3.1,1023.4,0,E,2.2,winter
60,7,8.2,1018.3,0,W,2.8,fall
61,9,31.9,1005.1,0,S,2.3,summer
62,3,12.2,1019.6,0,NE,0.3,fall
63,6,20.6,999,0,W,0.9,summer
64,6,-2.075,1027,0,SW,2.7,winter
65,13,-6.975,1032,0,NE,1.3,winter
66,3,22.3,995.4,2.9,SW,1.9,summer
67,106,10.8,1013.7,0,SSW,1.6,spring
68,2,32.3,1000.6,0,NNW,2.3,summer
69,29,15.9,1003.5,0,W,0.9,spring
70,19,16.1,1011.7,0,SSW,1.1,fall
71,7,3.7,1022.5,0,W,2,spring
72,111,-2.3,1029.7,0,SW,0.7,winter
73,7,-3.4,1020.5,0,ENE,1.1,winter
74,2,23.8,999.4,0,E,0.9,summer
75,7,24.7,1001.6,0,WNW,0.6,summer
76,6,26.9,997.5,0,SSW,1,summer
77,134,-6.2,1023,0,WSW,0.5,winter
78,24,30.4,995.9,0,W,0.7,summer
79,4,30.4,1003.4,0,SSE,1.9,summer
80,7,30.6,1001.5,0,W,1.3,summer
81,12,0.2,1024.5,0,N,3.1,winter
82,20,3.9,1009.2,0,WNW,0.4,spring
83,2,19,1010.5,0,WNW,2,spring
84,2,4.5,1025,0,W,1.1,fall
85,129,8.2,1015.3,0,SSW,1.7,spring
86,2,22.2,1004.5,0,NW,1.9,summer
87,60,-1.7,1021.5,0,S,1.7,winter
88,6,9.2,1011.1,0,NW,4.4,fall
89,9,29.2,1001.5,0,SE,1.7,fall
90,10,14,1016.8,0,S,2.7,spring
91,13,30.9,1002.4,0,S,3.6,summer
92,8,1.5,1025.5,0,NNE,2.3,winter
93,5,6.1,1026.9,0,E,1.4,fall
94,2,22.7,1004.5,0,ENE,1.7,summer
95,7,7,1016,0,ENE,2,winter
96,27,1.3,1024.4,0,E,1.6,winter
97,2,12.2,994.7,0,W,1.1,spring
98,2,25,1001.4,0,ENE,0.9,summer
99,5,-0.7,1026.9,0,ESE,1.3,winter
100,2,10.5,1025.9,0,ENE,2.1,spring
101,2,27,1002,0,SSW,1.3,summer
102,30,33.1,1003,0,ENE,2.1,summer
103,17,26.6,1006.3,0,S,3.2,spring
104,10,15.3,1010.6,0,ESE,1.3,spring
105,23,17.6,1011.6,0,WNW,0.8,fall
106,2,14.9,1020.3,3.2,SE,2.2,fall
107,7,19.3,1017.5,0,NE,1.8,fall
108,2,10.5,1020.9,0,NNE,4.7,spring
109,2,19.7,1013.1,0,NNE,0.4,fall
110,15,-1.8,1026,0,WNW,6,winter
111,5,22.3,1013.9,0,SW,4.7,spring
112,21,5.7,1014.2,0,SE,1.4,winter
113,23,-4,1021,0,SW,0.8,winter
114,3,14.9,1013.3,0,ESE,2.4,spring
115,28,0.05,1019,0,SW,1.6,winter
116,2,10,1013.7,0,WNW,2,fall
117,2,21.7,1002.8,0,E,1.6,summer
118,23,18.2,1008.9,0,SW,1.1,spring
119,2,27.9,996.8,0,SW,1.3,summer
120,8,1.3,1025.7,0.1,ENE,0.9,fall
121,2,21.6,1014.9,0,SE,2.1,fall
122,5,22.7,1005.7,0,ESE,1.8,summer
123,29,6.3,1022.8,0,SW,1.2,winter
124,2,20.2,1014.3,0,NW,5.4,spring
125,2,12.9,1021.1,0,NNW,1.3,spring
126,10,17.2,1006.1,0,negligible,0.1,fall
127,41,29.4,997,0,SSE,1.9,summer
128,5,19.6,1004.8,0,ENE,1.9,spring
129,20,28.7,1012.9,0,ESE,3.8,spring
130,19.1352,24.3,1006.6,0,SSE,2,fall
131,2,24.2,998.9,0,ENE,1.4,summer
132,2,20.6,997.9,0,WSW,1.3,summer
133,9,34,997.9,0,NW,1.4,summer
134,4,17.9,1013.7,0,SSW,1.8,fall
135,2,31.8,1001,0,NE,2.6,summer
136,2,38.6,990.4,0,W,3.6,spring
137,4,3.1,1028.3,0,NNW,3.9,spring
138,9,-3.6,1029,0,W,5.4,winter
139,2,22.1,1002.1,0,ESE,1.3,summer
140,29,19.6,1009.5,0,SW,2.8,spring
141,10,-0.9,1033.5,0,ENE,1.2,winter
142,102,2.3,1007,0,NNW,1,spring
143,35,4.3,1020.9,0,SW,2.2,spring
144,2,19.4,1005.4,0,NW,0.8,summer
145,2,24.9,992.3,0,NE,3.7,fall
146,4,-2.8,1028.3,0,NNW,2.5,winter
147,7,29.6,990.9,0,S,1.2,summer
148,3,20.85,1009,0,NE,1.4,fall
149,2,24,998.3,3.7,NE,3.6,summer
150,62,-1.7,1021.8,0,E,0.3,winter
151,13,26,994.8,0,WSW,4.1,spring
152,7,24.9,998.9,0,SW,4.9,spring
153,14,25.5,994.5,0,E,2.2,summer
154,2,25.1,1006.6,0,NW,3.1,fall
155,2,20.7,1009.1,0,E,0.8,fall
156,81,-9.3,1025.3,0,WSW,0.7,winter
157,29,-6.5,1029.9,0,E,0.8,winter
158,30,-6,1031.1,0,SW,1.1,winter
159,3,24.5,989.6,0,SW,1,summer
160,33,4.1,1025.7,0,NE,1.8,spring
161,14,26.2,1005.4,0,SSW,4,spring
162,25,0.6,1012.5,0,W,0.8,fall
163,15,6.6,1011.9,0,negligible,0.1,spring
164,5,19.5,1005.1,0,E,1.4,summer
165,17,21.1,1000.1,0,NNE,2.5,spring
166,21,-6,1026,0,WNW,0.8,winter
167,3,4.7,1024,0,NE,2,winter
168,2,24.9,1005.5,0,NNW,1.7,summer
169,28,10.4,1016.1,0,SW,2.9,spring
170,19,-0.9,1024.3,0,SW,2,winter
171,2,9.4,1018.3,0.2,NE,1.9,fall
172,2,14.6,1021,0,NNW,2.4,spring
173,2,15,1017.3,0,NNE,1.2,fall
174,3,26.5,991.8,0,WSW,0.7,summer
175,2,16.6,1026.1,0,NE,1.7,fall
176,95,12.7,1012.3,0,W,3,spring
177,33,-4.9,1026.1,0,ENE,1.3,winter
178,2,31.7,997.1,0,S,1.5,summer
179,7,33.3,999.4,0,ESE,3.5,summer
180,2,30.3,1006.1,0,WSW,2,summer
181,2,18.6,1008.2,0,negligible,0.1,fall
182,19,1.5,1030,0,W,0.9,fall
183,34,2.7,1024.3,0,E,1.1,winter
184,11,-0.2,1016.6,0,W,1.3,fall
185,3,20.1,1005.5,0,negligible,0.1,fall
186,2,9,1015.6,0,E,1.3,spring
187,6,1.4,1020,0,NNW,4.8,winter
188,2,8.3,1018.5,0,ESE,0.8,spring
189,42,7.7,1014.1,0,NW,3.1,winter
190,9,1.7,1018.9,0,NNW,2.6,winter
191,3,27.2,1000.4,0,SSW,4.3,spring
192,23,1.775,1014.25,0,SW,1.6,winter
193,2,22.3,1005.6,0,N,1.6,summer
194,2,10.1,1017,0,NE,1.9,fall
195,14,20.5,1013.6,0.6,ENE,1.8,fall
196,3,17.4,1011.5,0,ENE,0.8,fall
197,2,21.1,999.6,0,E,3.2,summer
198,21,12.9,1009.9,0,WSW,1.1,spring
199,8,23.5,998.1,0,S,0.3,summer
200,11,25.1,998,0,SSW,1.5,summer
201,31,25.6,996.9,0,ESE,3.8,summer
202,9,30.6,988.6,0,SSW,2.2,summer
203,21,13.7,1007.5,0,W,1.3,spring
204,53,-0.3,1022.5,0,S,0.9,winter
205,88,0,1021.4,0,WNW,0.9,winter
206,3,28.7,1003.2,0,SW,1.4,summer
207,40,5.3,1022,0,WNW,1.4,fall
208,2,30.2,1003.6,0,E,1.6,summer
209,21,18.5,995.3,0,ENE,0.9,spring
210,2,24.5,1009.2,0,E,3.3,fall
211,4,31.5,999.6,0,SSW,1.2,summer
212,13,22.4,1007.2,0,ENE,0.9,summer
213,2,12.7,1019.8,0,NW,3.3,fall
214,4,22.5,998.6,0,W,0.7,summer
215,15,27.5,1000.5,0,SW,3.8,spring
216,3,26.4,988.5,0,WNW,1.3,summer
217,4,29.9,996.6,0,NE,2.1,summer
218,2,19.8,1015,0,NNW,3,fall
219,2,3.3,1030.2,0,ENE,2.9,winter
220,3,11.3,1014.3,0,WNW,2.4,fall
221,20,23.9,998.9,0,NNE,1,summer
222,4,18.6,1003.7,0,ESE,1.4,spring
223,21,4.8,1012.5,0,NW,0.8,winter
224,16,20.9,1001,0,E,2.5,summer
225,19,1.3,1026.1,0,WSW,1.5,winter
226,23,2,1020.9,0,ENE,2.1,winter
227,73,1.9,1012.4,0,S,0.5,spring
228,37,5.4,1019.5,0,SE,1.3,fall
229,2,23.7,1000,0,WNW,1.4,summer
230,2,7.9,1026.2,0,ENE,2.9,fall
231,6,19.6,1001.3,0,W,0.9,summer
232,4,-0.5,1029,0,NW,2.6,winter
233,6,2.9,1030.7,0,N,3.4,spring
234,11,22,1001,0,WNW,1.4,summer
235,26,4,1016.3,0,SW,2.9,spring
236,23,18.3,1003.9,0,SSW,0.8,fall
237,59,9.1,1024,0,SSW,0.8,fall
238,72,7.6,1007.9,0,NE,1.1,spring
239,2,23.4,998.4,0,NW,1.4,summer
240,2,16.7,1010.9,0,NNE,1.2,fall
241,7,23.2,991.7,0,negligible,0.1,summer
242,3,6.6,1016.6,0,NNW,2.1,spring
243,104,-3.4,1015.4,0,W,0.9,winter
244,4.5696,17.1,1003,0,SSW,0.9,summer
245,2,27.6,999.2,0,NW,5.7,spring
246,6,33.8,1001.4,0,ENE,3,summer
247,5,33.1,1002.1,0,N,2.6,summer
248,4,11.6,1005.5,0.1,W,1,spring
249,6,25.1,991.8,0,NE,1.8,summer
250,6,15.7,1005.3,0,W,1.1,summer
251,2,21.9,1000.8,0,NE,1.3,summer
252,21,24.3,997.7,0,NE,1.4,summer
253,2,24.6,1009.2,0,SSW,3.7,spring
254,11,24.1,1004.8,0,SE,2.1,summer
255,23,22.3,1008.7,0,S,3,spring
256,2,27,1005.9,0,SSW,1.3,fall
257,2,21.9,1002.7,0,E,1.1,summer
258,3,16.6,1011,0,SSW,2.2,spring
259,17,24.2,996.5,0,S,1.2,spring
260,4,24.4,999.1,0,NNW,0.4,summer
261,2,3.5,1019.1,0,NNW,4.4,spring
262,2,20,1000.3,0,WNW,1.1,summer
263,3,10.1,1011.7,0,ENE,3.4,spring
264,6,0.1,1030,0,NNW,2.7,winter
265,54,-0.9,1014,0,WNW,0.8,winter
266,3,22.9,1004.5,0,WSW,1,summer
267,9,25.6,999.2,0,ENE,2.6,spring
268,26,13.6,1018.2,0,S,1.9,spring
269,2,9.1,1021,0,E,1.1,fall
270,2,19.3,1008.7,0.2,NW,1.7,fall
271,5,30.3,1007,0,SE,2.4,summer
272,4,24.6,1009.6,0,W,2.9,fall
273,6,21.3,1002.3,0,SSW,2.2,spring
274,29,-2.8,1013.9,0,ENE,0.9,spring
275,41,24.7,998.5,0,E,1.2,summer
276,47,-1.65,1032,0,SE,1,winter
277,2,21.1,997.1,0,NNE,1.5,summer
278,28,-3.3,1016.4,0,ESE,0.8,spring
279,2,6.9,1018.7,0,NE,1.2,spring
280,2,14,1012.8,0,NE,0.8,fall
281,3,25.1,1006.9,0.2,S,1.6,summer
282,50,-3.575,1018.25,0,NE,1.3,winter
283,15,26.4,1003.9,0,WSW,2.7,spring
284,20,33.1,991.7,0,ESE,2.5,spring
285,2,2.9,1029.7,0,WNW,2.4,winter
286,3,23.6,1005.1,0,SW,5.2,spring
287,10,29.6,1007.4,0,SE,2.7,summer
288,11,27,997.2,0,ENE,2.4,spring
289,2,19.5,1016.5,0,N,2.8,spring
290,6,13.9,1014.8,0,NNE,1,fall
291,5,25,995.6,0,WNW,0.4,spring
292,51,29.7,1004.8,0,WSW,2.7,spring
293,2,25.4,1004.3,0,W,1.3,fall
294,128,14.6,1004.6,0,S,1.7,spring
295,2,8.4,1026.7,0,NNE,2.3,spring
296,9,1.5,1019.5,0,NW,3.3,winter
297,119,21.9,1011.8,0,ENE,2.8,spring
298,61,2.8,1012.9,0,ENE,0.7,winter
299,7,7.1,1022.1,0,N,3,winter
300,9,14.1,1002,0,ENE,0.9,spring
301,11,2.5,1016.7,0,ESE,1.4,winter
302,14,22.1,1004.2,0,SSW,2.5,spring
303,3,30.1,1002.3,0,SSE,2.3,summer
304,34,8,1016,0,SW,1.4,winter
305,32,2.3,1005.3,0,WSW,1.9,winter
306,23,28,1010,0,ESE,3.5,spring
307,44,-3.9,1024.6,0,W,0.9,winter
308,7,0.05,1018.5,0,NE,4.1,winter
309,2,27.3,1000.1,0,ENE,0.8,summer
310,2,17.9,1009,0,NNE,0.8,fall
311,18,-2.5,1025.8,0,WNW,4.5,winter
312,6,9.8,1010.5,0,SW,0.8,spring
313,5,31.2,997,0,S,2,summer
314,3,25,1005.8,0,WSW,1.4,spring
315,3,24.1,1003,0,WSW,1.2,spring
316,2,20.2,1004.8,0,WNW,1.9,summer
317,11,9,1023.9,0,WSW,4,spring
318,15,-0.2,1015,0,SW,2.1,winter
319,44,18.1,1005.9,0,negligible,0.1,fall
320,8,0,1018,0.1,WSW,1.8,winter
321,16,9.1,1027,0,SSW,2.7,fall
322,28,6.4,1022.5,0,NW,3.3,winter
323,5,17.5,1005.9,0,NNE,1.5,spring
324,2,27.5,1009.6,0,N,3,fall
325,72,-0.2,1015.4,0,SE,1.5,winter
326,2,14.1,992.8,0,N,3.1,spring
327,6,18.6,1006.9,0,WNW,4.7,spring
328,4,30.2,999.9,0,SW,1.3,summer
329,11,24.9,1010.3,0,NNE,1.5,fall
330,7,23.3,1002.6,0,SSW,1.1,summer
331,20,22.4,1013.3,0,W,1.3,fall
332,80,0.8,1013.3,0,NNE,0.5,winter
333,2,36.9,997,0,E,1.7,summer
334,2,24.1,999,0,WNW,2.8,summer
335,4,22.6,990.5,0,W,1.1,summer
336,26,19.7,1009.8,0,ENE,0.9,spring
337,39,26.6,1001.6,0,NE,2,summer
338,22,15.3,1002.5,0,negligible,0.1,spring
339,3,6.9,1011,0,WNW,4.1,fall
340,96,8.8,1019.3,0,SW,2.3,spring
341,2,1.9,1017.5,0,SSE,0.7,fall
342,3,23.6,997.3,0,ENE,0.7,summer
343,11,11.6,1012.6,0,SW,2.5,spring
344,45,3.7,1008,0,N,1.4,winter
345,8,1.9,1027.9,0,NNW,5.1,winter
346,2,19,997,0,NE,1,summer
347,2,27.1,995,0,WNW,5.7,summer
348,1,-1.5,1022.9,0,NNW,2.5,winter
349,8,27.2,998.9,0,NW,1.2,summer
350,4,-0.2,1024.1,0,NW,3.5,winter
351,30,24.4,1003.2,0,S,2,fall
352,4,-4,1032.9,0,SSW,1,winter
353,6,23.9,998.9,0,SSE,0.9,summer
354,19,4.7,1025.2,0,WSW,3.1,winter
355,9,2,1021,0,NW,2.5,winter
356,44,-8.5,1028.2,0,ENE,1.5,winter
357,2,0.3,1033.1,0,WNW,1.1,fall
358,35,-4.825,1023.25,0,NE,1.1,winter
359,13,-3.5,1020.4,0,negligible,0.1,winter
360,44,20.4,1005.5,0,ENE,3.4,spring
361,13,21.3,998.4,0,SW,0.9,spring
362,3,8.9,1016.5,0,NNW,2.9,winter
363,2,26.5,1001.2,0,NNE,2.3,summer
364,2,34.4,1002.8,0,NW,3.6,summer
365,36,3.4,1011,0,NE,1.5,winter
366,2,23.9,1003.2,2.7,N,1.3,summer
367,5,-0.3,1016.7,0,NW,2.8,winter
368,3,18.3,1014.4,0,ENE,1.5,fall
369,5,18.5,1009.2,0,E,1.1,fall
370,55,1.3,1018.7,0,NNE,1.1,winter
371,3,21,1009.4,0,SW,4.1,spring
372,24,34.1,998.7,0,SW,2.6,summer
373,75,0.6,1023.2,0,SSE,0.8,winter
374,2,15.7,1001.6,0,SSW,0.6,summer
375,72,1.9,1033,0,ENE,0.8,winter
376,11,26.9,996.5,0,SW,1.9,summer
377,2,1.1,1030.5,0,NNW,1.6,winter
378,1,-1.3,1019.5,0,NNW,3.9,fall
379,7,18.6,1004.5,0,ENE,1.3,summer
380,2,25.7,997.6,0,ESE,1.7,summer
381,19,5.8,1020.5,0,E,1.1,fall
382,26,-1.4,1026.6,0,SW,1,winter
383,3,4.9,1025.4,0,NE,1.4,fall
384,10,1.3,1010.1,0,WSW,2.3,winter
385,2,20.9,1009.7,0,NNE,1.3,fall
386,70,3,1015,0,WNW,1.6,winter
387,3,17.5,1011.6,0,NNE,3.9,spring
388,5,-6.6,1022,0,NW,2.3,winter
389,24,32.9,997.6,0,SW,2.4,summer
390,2,20.3,1000.8,0,W,1,spring
391,25,15.7,1007.7,0,NE,1,spring
392,86,0.9,1012.4,0,E,0.9,winter
393,8,-0.3,1026.9,0,N,3,winter
394,37,5,1014,0,WSW,0.9,winter
395,3,7.3,1009.4,0,WNW,5.1,spring
396,7,-4.5,1031.8,0,ENE,1.3,winter
397,25,-2,1031.6,0,ENE,1.5,winter
398,2,10.4,1016.7,0,ENE,1,fall
399,20,3.4,1010.6,0,SE,1,winter
400,5,23.8,1006.1,0,NE,0.7,summer
401,26,2,1017,0,SW,1.8,winter
402,10,34,997.1,0,SW,4.6,summer
403,10,-2.9,1032,0,WNW,2.6,winter
404,121,4.1,1020.7,0,S,0.8,winter
405,3,27.9,1002.1,0,WNW,4.9,spring
406,2,27.4,997.9,0,ENE,0.7,summer
407,2,16.5,1013.2,0,NNW,2.1,fall
408,3,30.9,1001.1,0,NW,4.1,summer
409,5,17.3,1015.3,0,E,2.9,spring
410,9,21.9,1007.3,0,SW,2.9,spring
411,2,32.8,995.5,0,S,2.4,summer
412,34,20.7,1004.3,0,S,2.2,spring
413,28,26.7,999.9,0,WSW,2.8,summer
414,59,10.7,1014.8,0,WSW,2.6,spring
415,2,28.9,996.8,0,SW,2.1,summer
416,16,37.7,991.2,0,ENE,1.4,spring
417,2,21.5,1009,0,NE,0.8,fall
418,8,-6.4,1023.6,0,ENE,0.8,winter
419,13,6.8,1011.3,0.3,NE,1,winter
420,13,18.1,1008.4,0,SSE,2.1,spring
421,16,19.4,999.8,0,SSW,3.7,spring
422,16,21.4,1004.2,0,NW,7,spring
423,30,25.3,1009.3,0,E,1.4,fall
424,43,4.1,1020.6,0,S,2.5,spring
425,14,-4.7,1030,0,NE,2.3,winter
426,12,-1.9,1020.7,0,WSW,1.3,spring
427,13,10.8,1010,0,ESE,1.1,spring
428,2,11.1,1014.6,0,NE,1.3,fall
429,17,-1.5,1016.4,0,SSE,0.7,fall
430,38,7.8,1018,0,SSE,1.3,winter
431,14,25.3,998,0,NW,1.3,summer
432,3,3.2,1015.1,0,WNW,7.4,winter
433,57,2.9,1018.1,0,NE,1.9,spring
434,6,32.2,1002.4,0,SE,1.7,summer
435,28,15.3,1007.3,0,WNW,1.2,spring
436,69,-2.8,1010.6,0,W,1.9,winter
437,23,-4.3,1023.2,0,NE,0.8,winter
438,8,14.6,1007.7,0,NE,0.7,fall
439,1.428,22.5,997.5,0,WNW,1.2,summer
440,2,25,995.1,0,NNW,0.8,summer
441,2,18,1006.3,0,NE,0.3,summer
442,60,-2.5,1023.1,0,WSW,1,winter
443,2,33.2,1000.3,0,NW,2.1,summer
444,36,4.4,1019.1,0,W,1,fall
445,26,25.1,1013.6,0,SE,1.9,fall
446,3,6.8,1021,0,negligible,0.1,fall
447,57,-5.3,1021,0,NE,0.7,winter
448,4,5.9,1021.2,0,W,1.2,fall
449,57,22,1006.8,0,E,2.8,summer
450,19,-5.9,1030.7,0,WSW,2,winter
451,6,14.9,1017.1,0,NW,1.3,fall
452,12,1.7,1011.8,0,NE,1.2,winter
453,5,31.5,997.4,0,W,2,summer
454,2,20.5,1009,0,NE,0.8,fall
455,4,10.2,1016.9,0,NNE,1.7,spring
456,3,14.3,1015.8,0,SE,1,fall
457,12,21.9,1007.9,0,SE,2.3,spring
458,48,2,1009,0,WSW,0.8,winter
459,55,3,1012.3,0,W,0.8,winter
460,31,5.6,1010.5,0,WNW,4,winter
461,12,29.2,1003,0,W,2.5,fall
462,13,7.7,1029,0,WSW,1,fall
463,3,26.2,996.1,0,ENE,1.6,summer
464,41,-8.8,1022.8,0,W,0.8,winter
465,3,28.5,994.1,0,SW,1.1,summer
466,9,21.2,999,0,SW,4.1,spring
467,2,14.5,1015,0,WSW,0.7,fall
468,21,4,1022,0,WSW,1.5,winter
469,6,16.8,1016,0,WSW,2,fall
470,2,28.2,1005.1,0,ESE,2.1,summer
471,2,23.7,999.8,0,SSW,1.2,summer
472,4,27.8,995.5,0,NE,1.9,summer
473,8,-2.875,1027,0,SW,2.6,winter
474,9,17.4,1001.8,0,WSW,1,spring
475,13,22.5,1003.7,0,SSW,0.9,spring
476,13,16,1017.1,0,SW,1.8,fall
477,2,2.6,1025.7,0,E,0.6,spring
478,14,14.4,1016.7,0,NW,1.5,fall
479,6,18.1,1003.9,0.8,NNE,1.9,summer
480,5,26.3,1001.8,0,WSW,2.5,summer
481,26,5.2,1012.8,0,WNW,0.7,winter
482,8,-7.9,1032,0,NE,1.3,winter
483,4,4.4,1026.8,0,WNW,4.5,spring
484,29,1,1022.9,0,NW,3.3,winter
485,31,0.7,1022,0,WSW,1.8,winter
486,2,7.2,1020.7,0,WSW,1.4,fall
487,6,19.3,1009.3,0.1,WNW,0.9,fall
488,10,13.3,1017.6,0,ESE,2.2,fall
489,13,4.7,1016,0,NW,2,fall
490,2,9.2,1018.4,0.8,S,1.6,fall
491,76,-3.1,1013,0,E,1.1,winter
492,2,25.6,998.7,0,W,0.7,summer
493,16,-2.1,1017,0,SSE,0.5,fall
494,3,31.8,996.9,0,NE,2.2,summer
495,2,6,1025.7,0,ENE,4,spring
496,18,12.1,1015.8,0,ESE,2.3,fall
497,2,-0.7,1024.2,0,ENE,0.8,fall
498,14,-8.3,1030.2,0,N,0.8,winter
499,8,3.8,1023,0,WNW,1.6,fall
500,6.5688,25.6,998.3,0,E,1.7,summer
501,13,15.3,1001.4,0,WSW,0.9,spring
502,2,34.4,994.6,0,SSW,2.7,summer
503,5,30.2,994.9,0,NW,4.1,spring
504,8,20.7,1007.6,0,WNW,1,fall
505,17,26,999,0,E,1.5,summer
506,18,-0.8,1019.2,0,ENE,0.9,winter
507,8,29,997.2,0,SW,1.4,summer
508,125,4.1,1024.6,0,WNW,5.7,winter
509,34,25.9,995.7,0,E,3.1,summer
